snum,source,stitle,tnum,target,ttitle,check,stier,ttier,logic,slearning,tlearning
2,ENG1091,Mathematics for engineering,10,ECE2191,Probability models in engineering,1,1,2,ENG1091 OR ENG1005,,"describe random variables including probability mass functions, cumulative distribution functions and probability density functions including the commonly encountered gaussian random variables,characterise the distributions of functions of random variables,examine the properties of multiple random variables using joint probability mass functions, joint probability density functions, correlation, covariance and the correlation coefficient,estimate the sample mean, standard deviation, cumulative distribution function of a random variable from a series of independent observations,describe the law of large numbers and the central limit theorem, and illustrate how these two theorems can be employed to model random phenomena,calculate confidence intervals and use this statistical tool to interpret engineering data,apply probability models to current engineering examples in reliability, communication networks, power distribution, traffic and signal processing",,,,,,,,,,,,,
3,ENG1005,Engineering mathematics,10,ECE2191,Probability models in engineering,1,1,2,ENG1091 OR ENG1005,"evaluate cross products of vectors, and use vectors to represent lines and planes,perform matrix algebra,solve up to 3x3 systems of linear equations and find eigenvalues and eigenvectors,use hyperbolic functions,evaluate improper integrals of elementary functions and use integration by parts,appreciate convergence of numeric and power series, construct taylor series and estimate errors in numerical approximations,solve first order ordinary differential equations, including by separable variables and integrating factors,solve second order linear differential equations with constant coefficients,use differential equations to model simple engineering problems,evaluate and invert laplace transforms and use them to solve ordinary differential equations,calculate partial derivatives, use the gradient vector to find directional derivatives, and find extreme values of two-variable functions,express and explain mathematical techniques and arguments clearly in words","describe random variables including probability mass functions, cumulative distribution functions and probability density functions including the commonly encountered gaussian random variables,characterise the distributions of functions of random variables,examine the properties of multiple random variables using joint probability mass functions, joint probability density functions, correlation, covariance and the correlation coefficient,estimate the sample mean, standard deviation, cumulative distribution function of a random variable from a series of independent observations,describe the law of large numbers and the central limit theorem, and illustrate how these two theorems can be employed to model random phenomena,calculate confidence intervals and use this statistical tool to interpret engineering data,apply probability models to current engineering examples in reliability, communication networks, power distribution, traffic and signal processing",,,,,,,,,,,,,
1,ECE2072,Digital systems,4,ECE3073,Computer systems,0,2,3,(ECE2071 OR FIT1008 OR (FIT1029 AND FIT 1040)) AND ECE2072,"apply different techniques such as k-map and quine mccluskey, to minimise logic expressions and implement them using primitive logical gates,analyse the operation of latches, flip-flops, multiplexors, decoders, counters, registers and use them in implementing complex digital systems,design and build complex digital systems using programmable logic devices such as plas, pals and fpgas,use a hardware description language and computer aided design tools to synthesise and simulate logic circuits in a clear, consistent and efficient manner,analyse and design finite state sequential mealy and moore machines and implement them using different technologies,define time delays of digital logic elements and explain timing constraints necessary for correct operation of synchronous logic","describe the organisation and operation of an embedded computer system consisting of components including a microprocessor, system bus, memory hierarchy, and peripherals,describe different analogue-to-digital conversion techniques and serial communication protocols,determine the performance of c and/or assembly programs when processing data from peripheral devices,analyse, design and test real time software employing concurrency and inter-process communication,analyse and compare behaviour of different real-time schedulers,appreciate how an optimising compiler can translate a high level language program into efficient assembly code",,,,,,,,,,,,,
2,ECE2071,Computer organisation and programming,4,ECE3073,Computer systems,1,2,3,(ECE2071 OR FIT1008 OR (FIT1029 AND FIT 1040)) AND ECE2072,"evaluate the basic concepts of computer programming, cpu organization, assemblers and compilers, and algorithm design for engineering problems by using software engineering and operating systems concepts,develop and evaluate programs in the c language through understanding of standard data types, arrays, control statements, functions, pointers, strings, arrays of pointers, structures, linked lists, binary tree data structures and dynamic memory allocations","describe the organisation and operation of an embedded computer system consisting of components including a microprocessor, system bus, memory hierarchy, and peripherals,describe different analogue-to-digital conversion techniques and serial communication protocols,determine the performance of c and/or assembly programs when processing data from peripheral devices,analyse, design and test real time software employing concurrency and inter-process communication,analyse and compare behaviour of different real-time schedulers,appreciate how an optimising compiler can translate a high level language program into efficient assembly code",,,,,,,,,,,,,
6,FIT1008,Introduction to computer science,4,ECE3073,Computer systems,1,1,3,(ECE2071 OR FIT1008 OR (FIT1029 AND FIT 1040)) AND ECE2072,"translate simple problem statements into algorithms, implement them in a high level programming language and test them, summarise and compare the properties of basic abstract data types such as stacks, queues, lists, trees, priority queues, heaps and hash tables, evaluate different algorithms and implementations of basic abstract data types, analyse algorithms by determining their best case and worst case big o time complexity, deconstruct simple high-level code into assembly code such as mips r2000","describe the organisation and operation of an embedded computer system consisting of components including a microprocessor, system bus, memory hierarchy, and peripherals,describe different analogue-to-digital conversion techniques and serial communication protocols,determine the performance of c and/or assembly programs when processing data from peripheral devices,analyse, design and test real time software employing concurrency and inter-process communication,analyse and compare behaviour of different real-time schedulers,appreciate how an optimising compiler can translate a high level language program into efficient assembly code",,,,,,,,,,,,,
7,FIT1029,Algorithmic problem solving,4,ECE3073,Computer systems,1,1,3,(ECE2071 OR FIT1008 OR (FIT1029 AND FIT 1040)) AND ECE2072,,"describe the organisation and operation of an embedded computer system consisting of components including a microprocessor, system bus, memory hierarchy, and peripherals,describe different analogue-to-digital conversion techniques and serial communication protocols,determine the performance of c and/or assembly programs when processing data from peripheral devices,analyse, design and test real time software employing concurrency and inter-process communication,analyse and compare behaviour of different real-time schedulers,appreciate how an optimising compiler can translate a high level language program into efficient assembly code",,,,,,,,,,,,,
8,FIT1040,Digital futures: adventures in programming,4,ECE3073,Computer systems,1,1,3,(ECE2071 OR FIT1008 OR (FIT1029 AND FIT 1040)) AND ECE2072,"recognise the relationship between a problem description and program design, implement problem solving strategies, construct and test simple computer programs, analyse and debug existing programs, recognise the importance of good practices in programming","describe the organisation and operation of an embedded computer system consisting of components including a microprocessor, system bus, memory hierarchy, and peripherals,describe different analogue-to-digital conversion techniques and serial communication protocols,determine the performance of c and/or assembly programs when processing data from peripheral devices,analyse, design and test real time software employing concurrency and inter-process communication,analyse and compare behaviour of different real-time schedulers,appreciate how an optimising compiler can translate a high level language program into efficient assembly code",,,,,,,,,,,,,
2,ECE2071,Computer organisation and programming,1,ECE3091,Engineering design,1,2,3,(ECE2071 OR (FIT1029 AND FIT 1040)) AND ECE2041 AND ECE2061 AND ECE2031 AND ECE2072,"evaluate the basic concepts of computer programming, cpu organization, assemblers and compilers, and algorithm design for engineering problems by using software engineering and operating systems concepts,develop and evaluate programs in the c language through understanding of standard data types, arrays, control statements, functions, pointers, strings, arrays of pointers, structures, linked lists, binary tree data structures and dynamic memory allocations.","integration and application of knowledge from different areas,practical experience of the tools of circuit design of greater complexity,experience in reading a wide range of component data and extracting the relevant information,skills to work in teams,skills to find optima in designs subject to constraints,confidence to consider many possible solutions and choose on the data available,experience of practical problems of more complex electronic constructions",,,,,,,,,,,,,
7,FIT1029,Algorithmic problem solving,1,ECE3091,Engineering design,1,1,3,(ECE2071 OR (FIT1029 AND FIT 1040)) AND ECE2041 AND ECE2061 AND ECE2031 AND ECE2072,,"integration and application of knowledge from different areas,practical experience of the tools of circuit design of greater complexity,experience in reading a wide range of component data and extracting the relevant information,skills to work in teams,skills to find optima in designs subject to constraints,confidence to consider many possible solutions and choose on the data available,experience of practical problems of more complex electronic constructions",,,,,,,,,,,,,
8,FIT1040,Digital futures: adventures in programming,1,ECE3091,Engineering design,1,1,3,(ECE2071 OR (FIT1029 AND FIT 1040)) AND ECE2041 AND ECE2061 AND ECE2031 AND ECE2072,"recognise the relationship between a problem description and program design, implement problem solving strategies, construct and test simple computer programs, analyse and debug existing programs, recognise the importance of good practices in programming","integration and application of knowledge from different areas,practical experience of the tools of circuit design of greater complexity,experience in reading a wide range of component data and extracting the relevant information,skills to work in teams,skills to find optima in designs subject to constraints,confidence to consider many possible solutions and choose on the data available,experience of practical problems of more complex electronic constructions",,,,,,,,,,,,,
3,ECE2041,Telecommunications,1,ECE3091,Engineering design,0,2,3,(ECE2071 OR (FIT1029 AND FIT 1040)) AND ECE2041 AND ECE2061 AND ECE2031 AND ECE2072,"this unit aims to provide the student with an insight into the basic principles of modern data communication and telecommunication networks, and relate this information to their wider use in the engineering environment, including networking, information representation and transmission.","integration and application of knowledge from different areas,practical experience of the tools of circuit design of greater complexity,experience in reading a wide range of component data and extracting the relevant information,skills to work in teams,skills to find optima in designs subject to constraints,confidence to consider many possible solutions and choose on the data available,experience of practical problems of more complex electronic constructions",,,,,,,,,,,,,
4,ECE2061,Analogue electronics,1,ECE3091,Engineering design,0,2,3,(ECE2071 OR (FIT1029 AND FIT 1040)) AND ECE2041 AND ECE2061 AND ECE2031 AND ECE2072,"an understanding of semiconductor devices and their uses as near linear amplifiers. more generally, an understanding of linear systems, and of how non-linear systems can be approximated by linear systems, and the advantages of doing so","integration and application of knowledge from different areas,practical experience of the tools of circuit design of greater complexity,experience in reading a wide range of component data and extracting the relevant information,skills to work in teams,skills to find optima in designs subject to constraints,confidence to consider many possible solutions and choose on the data available,experience of practical problems of more complex electronic constructions",,,,,,,,,,,,,
5,ECE2031,Circuits and control,1,ECE3091,Engineering design,0,2,3,(ECE2071 OR (FIT1029 + FIT 1040)) AND ECE2041 AND ECE2061 AND ECE2031 AND ECE2072,"analyse and understand dc and ac electrical circuits, perform and interpret circuit simulations, solve for an interpret the transient response of first and second order electrical circuits, model and analyse closed loop feedback systems, design and understand the significance of pid control, understand and analyse the stability of single input single output control systems","integration and application of knowledge from different areas,practical experience of the tools of circuit design of greater complexity,experience in reading a wide range of component data and extracting the relevant information,skills to work in teams,skills to find optima in designs subject to constraints,confidence to consider many possible solutions and choose on the data available,experience of practical problems of more complex electronic constructions",,,,,,,,,,,,,
1,ECE2072,Digital systems,1,ECE3091,Engineering design,0,2,3,(ECE2071 OR (FIT1029 AND FIT 1040)) AND ECE2041 AND ECE2061 AND ECE2031 AND ECE2072,"apply different techniques such as k-map and quine mccluskey, to minimise logic expressions and implement them using primitive logical gates,analyse the operation of latches, flip-flops, multiplexors, decoders, counters, registers and use them in implementing complex digital systems,design and build complex digital systems using programmable logic devices such as plas, pals and fpgas,use a hardware description language and computer aided design tools to synthesise and simulate logic circuits in a clear, consistent and efficient manner,analyse and design finite state sequential mealy and moore machines and implement them using different technologies,define time delays of digital logic elements and explain timing constraints necessary for correct operation of synchronous logic","integration and application of knowledge from different areas,practical experience of the tools of circuit design of greater complexity,experience in reading a wide range of component data and extracting the relevant information,skills to work in teams,skills to find optima in designs subject to constraints,confidence to consider many possible solutions and choose on the data available,experience of practical problems of more complex electronic constructions",,,,,,,,,,,,,
6,ENG2005,Advanced engineering mathematics,5,ECE3121,Engineering electromagnetics,0,2,3,ENG2005,"use essential concepts related to mxn linear systems, including linear independence and basis, and demonstrate a broad appreciation of tensors,solve systems of simple ordinary differential equations, establish and use their eigenvalues, solve simple second-order boundary-value problems,represent a periodic function with a fourier series, determine their convergence, calculate even and odd series, and apply these to solving simple periodic systems,perform change of variables for multivariable functions with the chain rule, use polar coordinates, represent 2d and 3d curves parametrically and solve line integrals on these curves,manipulate and evaluate double and triple integrals in cartesian, cylindrical and spherical coordinates,calculate the gradient, divergence and curl vector operations, and apply these in the evaluation of surface and volume integrals through the gauss and stokes theorems,solve elementary partial differential equations, apply boundary and initial conditions as appropriate, and use the method of separation of variables with the wave equation, heat equation and laplace's equation,appreciate key issues related to the numerical solution of full and sparse linear systems,apply a range of suitable techniques for the numerical solution of odes, including using discrete fourier transforms, ps and fe methods,use a range of suitable simple numerical techniques for the solution of pdes and appreciate their advantages and disadvantages,use matlab and other appropriate software to assist in understanding these mathematical techniques,express and explain mathematical techniques and arguments clearly in words","apply knowledge of mathematics to examine the behaviour of electric and magnetic fields and relate them to suitable applications,interpret maxwell's equations and associated laplace, poisson and continuity equations using mathematical principles,describe electric and magnetic properties of metals, dielectrics and semiconductors,select and use appropriate tools to complete electrical and magnetic fields related laboratory tasks,communicate their work effectively in teams",,,,,,,,,,,,,
1,VCE,VCE Specialist Mathematics,6,ECE3141,Information and networks,0,0.2,3,VCE specialist mathematics AND physics,,"identify major elements of telecommunication systems, including functions in layered architectures such as tcp/ip,compare and contrast alternative medium sharing protocols used in networks such as ethernet and wi-fi,analyse the error detection and correction capabilities of error control codes,evaluate the impact of channel bandwidth and the channel noise on the performance of telecommunication systems,analyse impairments experienced by a modulated signal transmitted through a communication channel,evaluate addressing and routing algorithms, and strategies used in the transport of data packets in the internet,",,,,,,,,,,,,,
1,ECE3091,Engineering design,1,ECE4094,Project A,1,3,4,ECE3091 OR 132CP,"integration and application of knowledge from different areas,practical experience of the tools of circuit design of greater complexity,experience in reading a wide range of component data and extracting the relevant information,skills to work in teams,skills to find optima in designs subject to constraints,confidence to consider many possible solutions and choose on the data available,experience of practical problems of more complex electronic constructions","explore in greater depth a chosen field of engineering with a practical emphasis,demonstrate an ability to self manage and organise and to investigate and evaluate a problem of interest,demonstrate an ability to logically assess different alternatives and investigate prior work in the field of interest, compare and contrast such work to develop a solution to a problem of interest,explore the importance of self-sufficiency and self-review of efforts and outcomes,demonstrate skills acquired during the course of the degree in an area of interest to the student and supervisor and use the tools and equipment applicable in the chosen area with greater efficacy,relate findings and outcomes to a panel of review",,,,,,,,,,,,,
1,ECE4094,Project A,2,ECE4095,Project B,0,4,4,ECE4094 OR ECE4911,"explore in greater depth a chosen field of engineering with a practical emphasis,demonstrate an ability to self manage and organise and to investigate and evaluate a problem of interest,demonstrate an ability to logically assess different alternatives and investigate prior work in the field of interest, compare and contrast such work to develop a solution to a problem of interest,explore the importance of self-sufficiency and self-review of efforts and outcomes,demonstrate skills acquired during the course of the degree in an area of interest to the student and supervisor and use the tools and equipment applicable in the chosen area with greater efficacy,relate findings and outcomes to a panel of review","explore in greater depth a chosen field of engineering with a practical emphasis,demonstrate an ability to self-manage and organise and to investigate and evaluate a problem of interest,demonstrate an ability to logically assess different alternatives and investigate prior work in the field of interest, compare and contrast such work to develop a solution to a problem of interest,explore the importance of self-sufficiency and self-review of efforts and outcomes,demonstrate skills acquired during the course of the degree in an area of interest to the student and supervisor and use the tools and equipment applicable in the chosen area with greater efficacy,relate findings and outcomes to a panel of review",,,,,,,,,,,,,
3,ENG1005,Engineering mathematics,6,ENG2005,Advanced engineering mathematics,1,1,2,ENG1005 OR ENG1091,"evaluate cross products of vectors, and use vectors to represent lines and planes,perform matrix algebra,solve up to 3x3 systems of linear equations and find eigenvalues and eigenvectors,use hyperbolic functions,evaluate improper integrals of elementary functions and use integration by parts,appreciate convergence of numeric and power series, construct taylor series and estimate errors in numerical approximations,solve first order ordinary differential equations, including by separable variables and integrating factors,solve second order linear differential equations with constant coefficients,use differential equations to model simple engineering problems,evaluate and invert laplace transforms and use them to solve ordinary differential equations,calculate partial derivatives, use the gradient vector to find directional derivatives, and find extreme values of two-variable functions,express and explain mathematical techniques and arguments clearly in words","use essential concepts related to mxn linear systems, including linear independence and basis, and demonstrate a broad appreciation of tensors,solve systems of simple ordinary differential equations, establish and use their eigenvalues, solve simple second-order boundary-value problems,represent a periodic function with a fourier series, determine their convergence, calculate even and odd series, and apply these to solving simple periodic systems,perform change of variables for multivariable functions with the chain rule, use polar coordinates, represent 2d and 3d curves parametrically and solve line integrals on these curves,manipulate and evaluate double and triple integrals in cartesian, cylindrical and spherical coordinates,calculate the gradient, divergence and curl vector operations, and apply these in the evaluation of surface and volume integrals through the gauss and stokes theorems,solve elementary partial differential equations, apply boundary and initial conditions as appropriate, and use the method of separation of variables with the wave equation, heat equation and laplace's equation,appreciate key issues related to the numerical solution of full and sparse linear systems,apply a range of suitable techniques for the numerical solution of odes, including using discrete fourier transforms, ps and fe methods,use a range of suitable simple numerical techniques for the solution of pdes and appreciate their advantages and disadvantages,use matlab and other appropriate software to assist in understanding these mathematical techniques,express and explain mathematical techniques and arguments clearly in words",,,,,,,,,,,,,
2,ENG1091,Mathematics for engineering,6,ENG2005,Advanced engineering mathematics,1,1,2,ENG1005 OR ENG1091,,"use essential concepts related to mxn linear systems, including linear independence and basis, and demonstrate a broad appreciation of tensors,solve systems of simple ordinary differential equations, establish and use their eigenvalues, solve simple second-order boundary-value problems,represent a periodic function with a fourier series, determine their convergence, calculate even and odd series, and apply these to solving simple periodic systems,perform change of variables for multivariable functions with the chain rule, use polar coordinates, represent 2d and 3d curves parametrically and solve line integrals on these curves,manipulate and evaluate double and triple integrals in cartesian, cylindrical and spherical coordinates,calculate the gradient, divergence and curl vector operations, and apply these in the evaluation of surface and volume integrals through the gauss and stokes theorems,solve elementary partial differential equations, apply boundary and initial conditions as appropriate, and use the method of separation of variables with the wave equation, heat equation and laplace's equation,appreciate key issues related to the numerical solution of full and sparse linear systems,apply a range of suitable techniques for the numerical solution of odes, including using discrete fourier transforms, ps and fe methods,use a range of suitable simple numerical techniques for the solution of pdes and appreciate their advantages and disadvantages,use matlab and other appropriate software to assist in understanding these mathematical techniques,express and explain mathematical techniques and arguments clearly in words",,,,,,,,,,,,,
3,ECE2041,Telecommunications,3,ECE4024,Wireless communications,0,2,4,ECE2041,"this unit aims to provide the student with an insight into the basic principles of modern data communication and telecommunication networks, and relate this information to their wider use in the engineering environment, including networking, information representation and transmission.","to understand the basics of radio transmission and reception in different frequency bands and different physical environments,to understand the limitations on radio communications imposed by the radio channel,to learn the wide range of applications of radio/wireless technology,to understand mobile radio communications and its networking capabilities",,,,,,,,,,,,,
5,ECE2031,Circuits and control,4,ECE4032,Advanced control,0,2,4,(ECE3062 OR ECE3031) AND ECE2031,"analyse and understand dc and ac electrical circuits, perform and interpret circuit simulations, solve for an interpret the transient response of first and second order electrical circuits, model and analyse closed loop feedback systems, design and understand the significance of pid control, understand and analyse the stability of single input single output control systems","generate dynamic models using various system identification techniques/tools such as (but not limited to) step response identification, least squares and the system identification toolbox,design optimal controllers and observers for both continuous-time and discrete-time dynamic systems,analyse robustness of uncertain systems and to suggest suitable controller structures,use various methods to design controllers and observers for nonlinear systems, such as (but not limited to) feedback linearisation, diffeomorphism, and linear matrix inequalities,discern the need for life-long learning about advanced control technique,design and simulate controllers and observers using computer-aided tools",,,,,,,,,,,,,
2,ECE3062,Electronic systems and control,4,ECE4032,Advanced control,1,3,4,(ECE3062 OR ECE3031) AND ECE2031,"to extend semiconductor theory to additional electronic devices and to integrated circuit structures, to gain more detailed knowledge and understanding of electronic amplifier circuits, and to understand how transistors and electronics are used in higher frequency and oscillator applications, introduce feedback, stability and dominant pole compensation, to understand siso control systems, state space modelling and their relationship to transfer functional representation, to introduce discrete-time/sampled-data control systems, to extend the ability and practical skills to design electronic circuits using simulation tools and construct, debug and verify the operation of electronic circuits in the laboratory, to extend the ability and practical skills to design and experimentally verify the operation of siso control systems","generate dynamic models using various system identification techniques/tools such as (but not limited to) step response identification, least squares and the system identification toolbox,design optimal controllers and observers for both continuous-time and discrete-time dynamic systems,analyse robustness of uncertain systems and to suggest suitable controller structures,use various methods to design controllers and observers for nonlinear systems, such as (but not limited to) feedback linearisation, diffeomorphism, and linear matrix inequalities,discern the need for life-long learning about advanced control technique,design and simulate controllers and observers using computer-aided tools",,,,,,,,,,,,,
